_id,avgVolume,change,changesPercentage,dayHigh,dayLow,earningsAnnouncement,eps,exchange,marketCap,name,open,pe,previousClose,price,priceAvg200,priceAvg50,sharesOutstanding,symbol,timestamp,volume,yearHigh,yearLow
6482715ad280b9976c2ea892,57177132,-1.19,-0.6162,194.97,191.32,2023-08-03T00:00:00.000+0000,5.89,NASDAQ,3.01897E+12,Apple Inc.,194.1,32.59,193.13,191.94,157.22505,182.7826,15728700416,AAPL,1689969602,58364002,198.23,124.17
6482715ad280b9976c2ea8f9,62461896,0.04,0.0308,131.37,128.415,2023-08-03T00:00:00.000+0000,0.41,NASDAQ,1.33385E+12,"Amazon.com, Inc.",131.34,317.07,129.96,130,104.99835,123.9596,10260400128,AMZN,1689969602,96482177,146.57,81.43
6482715bd280b9976c2eae38,24868909,-8.26,-2.7304,305.46,291.2,2023-07-26T00:00:00.000+0000,7.71,NASDAQ,7.54109E+11,"Meta Platforms, Inc.",304.57,38.17,302.52,294.26,185.9192,273.6276,2562730156,META,1689969601,38173931,318.68,88.09
64827159d280b9976c2ea4dd,28611754,-3.1,-0.8937,350.3,339.83,2023-07-25T00:00:00.000+0000,9.23,NASDAQ,2.5561E+12,Microsoft Corporation,349.15,37.24,346.87,343.77,274.0827,331.1648,7435489792,MSFT,1689969601,67590992,366.78,213.43
6482715dd280b9976c2eb3b5,7062337,-9.92,-2.2678,438.24,423.21,2023-10-16T00:00:00.000+0000,8.57,NASDAQ,1.90041E+11,"Netflix, Inc.",437.37,49.88,437.42,427.5,334.2365,407.6284,444540992,NFLX,1689969601,17191619,485,211.64
6482715cd280b9976c2eaf82,48551767,-12.11,-2.6604,458.66,442,2023-08-23T00:00:00.000+0000,1.93,NASDAQ,1.09443E+12,NVIDIA Corporation,457.88,229.58,455.2,443.09,244.9962,389.6226,2470000128,NVDA,1689969601,75119023,480.88,108.13
64827159d280b9976c2ea668,137255281,-2.88,-1.0955,268,255.8,2023-10-17T20:00:00.000+0000,3.08,NASDAQ,8.24133E+11,"Tesla, Inc.",268,84.42,262.9,260.02,193.8185,233.43,3169499904,TSLA,1689969601,159151419,314.66666,101.81
