_id,address,beta,ceo,changes,cik,city,companyName,country,currency,cusip,dcf,dcfDiff,defaultImage,description,exchange,exchangeShortName,fullTimeEmployees,image,industry,ipoDate,isActivelyTrading,isAdr,isEtf,isFund,isin,lastDiv,mktCap,phone,price,range,sector,state,symbol,volAvg,website,zip
6482715ad280b9976c2ea892,One Apple Park Way,1.292349,Mr. Timothy D. Cook,-1.19,320193,Cupertino,Apple Inc.,US,USD,37833100,150.082,4.15176,TRUE,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services. In addition, the company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; AirPods Max, an over-ear wireless headphone; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, HomePod, and iPod touch. Further, it provides AppleCare support services; cloud services store services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. Additionally, the company offers various services, such as Apple Arcade, a game subscription service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was incorporated in 1977 and is headquartered in Cupertino, California.",NASDAQ Global Select,NASDAQ,164000,https://financialmodelingprep.com/image-stock/AAPL.png,Consumer Electronics,12/12/1980,TRUE,TRUE,TRUE,TRUE,US0378331005,0.96,3.01897E+12,408 996 1010,191.94,124.17-198.23,Technology,CA,AAPL,57177132,https://www.apple.com,95014
6482715ad280b9976c2ea8f9,410 Terry Avenue North,1.257855,Mr. Andrew R. Jassy,0.04,1018724,Seattle,"Amazon.com, Inc.",US,USD,23135106,163.48,61.2396,TRUE,"Amazon.com, Inc. engages in the retail sale of consumer products and subscriptions through online and physical stores in North America and internationally. The company operates through three segments: North America, International, and Amazon Web Services (AWS). Its products offered through its stores include merchandise and content purchased for resale; and products offered by third-party sellers The company also manufactures and sells electronic devices, including Kindle, Fire tablets, Fire TVs, Rings, Blink, eero, and Echo; and develops and produces media content. In addition, it offers programs that enable sellers to sell their products in its stores; and programs that allow authors, musicians, filmmakers, Twitch streamers, skill and app developers, and others to publish and sell content. Further, the company provides compute, storage, database, analytics, machine learning, and other services, as well as fulfillment, advertising, and digital content subscriptions. Additionally, it offers Amazon Prime, a membership program. The company serves consumers, sellers, developers, enterprises, content creators, and advertisers. Amazon.com, Inc. was incorporated in 1994 and is headquartered in Seattle, Washington.",NASDAQ Global Select,NASDAQ,1541000,https://financialmodelingprep.com/image-stock/AMZN.png,Internet Retail,5/15/1997,TRUE,TRUE,TRUE,TRUE,US0231351067,0.2,1.33385E+12,206 266 1000,130,81.43-146.57,Consumer Cyclical,WA,AMZN,62461896,https://www.amazon.com,98109-5210
6482715bd280b9976c2eae38,1601 Willow Road,1.21448,Mr. Mark Elliot Zuckerberg,-8.26,1326801,Menlo Park,"Meta Platforms, Inc.",US,USD,30303M102,115.667,36.0734,TRUE,"Meta Platforms, Inc. engages in the development of products that enable people to connect and share with friends and family through mobile devices, personal computers, virtual reality headsets, and wearables worldwide. It operates in two segments, Family of Apps and Reality Labs. The Family of Apps segment offers Facebook, which enables people to share, discuss, discover, and connect with interests; Instagram, a community for sharing photos, videos, and private messages, as well as feed, stories, reels, video, live, and shops; Messenger, a messaging application for people to connect with friends, family, communities, and businesses across platforms and devices through text, audio, and video calls; and WhatsApp, a messaging application that is used by people and businesses to communicate and transact privately. The Reality Labs segment provides augmented and virtual reality related products comprising consumer hardware, software, and content that help people feel connected, anytime, and anywhere. The company was formerly known as Facebook, Inc. and changed its name to Meta Platforms, Inc. in October 2021. Meta Platforms, Inc. was incorporated in 2004 and is headquartered in Menlo Park, California.",NASDAQ Global Select,NASDAQ,77114,https://financialmodelingprep.com/image-stock/META.png,Internet Content & Information,5/18/2012,TRUE,TRUE,TRUE,TRUE,US30303M1027,0,7.54109E+11,650 543 4800,294.26,88.09-318.68,Communication Services,CA,META,24868909,https://investor.fb.com,94025
64827159d280b9976c2ea4dd,One Microsoft Way,0.91086,Mr. Satya  Nadella,-3.1,789019,Redmond,Microsoft Corporation,US,USD,594918104,243.594,4.56584,TRUE,"Microsoft Corporation develops, licenses, and supports software, services, devices, and solutions worldwide. The company operates in three segments: Productivity and Business Processes, Intelligent Cloud, and More Personal Computing. The Productivity and Business Processes segment offers Office, Exchange, SharePoint, Microsoft Teams, Office 365 Security and Compliance, Microsoft Viva, and Skype for Business; Skype, Outlook.com, OneDrive, and LinkedIn; and Dynamics 365, a set of cloud-based and on-premises business solutions for organizations and enterprise divisions. The Intelligent Cloud segment licenses SQL, Windows Servers, Visual Studio, System Center, and related Client Access Licenses; GitHub that provides a collaboration platform and code hosting service for developers; Nuance provides healthcare and enterprise AI solutions; and Azure, a cloud platform. It also offers enterprise support, Microsoft consulting, and nuance professional services to assist customers in developing, deploying, and managing Microsoft server and desktop solutions; and training and certification on Microsoft products. The More Personal Computing segment provides Windows original equipment manufacturer (OEM) licensing and other non-volume licensing of the Windows operating system; Windows Commercial, such as volume licensing of the Windows operating system, Windows cloud services, and other Windows commercial offerings; patent licensing; and Windows Internet of Things. It also offers Surface, PC accessories, PCs, tablets, gaming and entertainment consoles, and other devices; Gaming, including Xbox hardware, and Xbox content and services; video games and third-party video game royalties; and Search, including Bing and Microsoft advertising. The company sells its products through OEMs, distributors, and resellers; and directly through digital marketplaces, online stores, and retail stores. Microsoft Corporation was founded in 1975 and is headquartered in Redmond, Washington.",NASDAQ Global Select,NASDAQ,221000,https://financialmodelingprep.com/image-stock/MSFT.png,Software—Infrastructure,3/13/1986,TRUE,TRUE,TRUE,TRUE,US5949181045,2.72,2.5561E+12,425 882 8080,343.77,213.43-366.78,Technology,WA,MSFT,28611754,https://www.microsoft.com,98052-6399
6482715dd280b9976c2eb3b5,100 Winchester Circle,1.299863,Mr. Theodore A. Sarandos,-9.92,1065280,Los Gatos,"Netflix, Inc.",US,USD,64110L106,298.321,62.449,TRUE,"Netflix, Inc. provides entertainment services. It offers TV series, documentaries, feature films, and mobile games across various genres and languages. The company provides members the ability to receive streaming content through a host of internet-connected devices, including TVs, digital video players, television set-top boxes, and mobile devices. It also provides DVDs-by-mail membership services in the United States. The company has approximately 222 million paid members in 190 countries. Netflix, Inc. was incorporated in 1997 and is headquartered in Los Gatos, California.",NASDAQ Global Select,NASDAQ,12800,https://financialmodelingprep.com/image-stock/NFLX.png,Entertainment,5/23/2002,TRUE,TRUE,TRUE,TRUE,US64110L1061,0,1.90041E+11,408 540 3700,427.5,211.64-485.0,Communication Services,CA,NFLX,7062337,https://www.netflix.com,95032
6482715cd280b9976c2eaf82,2788 San Tomas Expressway,1.750683,Mr. Jen-Hsun  Huang,-12.11,1045810,Santa Clara,NVIDIA Corporation,US,USD,67066G104,153.952,49.6981,TRUE,"NVIDIA Corporation provides graphics, and compute and networking solutions in the United States, Taiwan, China, and internationally. The company's Graphics segment offers GeForce GPUs for gaming and PCs, the GeForce NOW game streaming service and related infrastructure, and solutions for gaming platforms; Quadro/NVIDIA RTX GPUs for enterprise workstation graphics; vGPU software for cloud-based visual and virtual computing; automotive platforms for infotainment systems; and Omniverse software for building 3D designs and virtual worlds. Its Compute & Networking segment provides Data Center platforms and systems for AI, HPC, and accelerated computing; Mellanox networking and interconnect solutions; automotive AI Cockpit, autonomous driving development agreements, and autonomous vehicle solutions; cryptocurrency mining processors; Jetson for robotics and other embedded platforms; and NVIDIA AI Enterprise and other software. The company's products are used in gaming, professional visualization, datacenter, and automotive markets. NVIDIA Corporation sells its products to original equipment manufacturers, original device manufacturers, system builders, add-in board manufacturers, retailers/distributors, independent software vendors, Internet and cloud service providers, automotive manufacturers and tier-1 automotive suppliers, mapping companies, start-ups, and other ecosystem participants. It has a strategic collaboration with Kroger Co. NVIDIA Corporation was incorporated in 1993 and is headquartered in Santa Clara, California.",NASDAQ Global Select,NASDAQ,26196,https://financialmodelingprep.com/image-stock/NVDA.png,Semiconductors,1/22/1999,TRUE,TRUE,TRUE,TRUE,US67066G1040,0.16,1.09443E+12,408 486 2000,443.09,108.13-480.88,Technology,CA,NVDA,48551767,https://www.nvidia.com,95051
64827159d280b9976c2ea668,1 Tesla Road,2.081967,Mr. Elon R. Musk,-2.88,1318605,Austin,"Tesla, Inc.",US,USD,88160R101,181.632,3.73173,TRUE,"Tesla, Inc. designs, develops, manufactures, leases, and sells electric vehicles, and energy generation and storage systems in the United States, China, and internationally. It operates in two segments, Automotive, and Energy Generation and Storage. The Automotive segment offers electric vehicles, as well as sells automotive regulatory credits; and non-warranty after-sales vehicle, used vehicles, retail merchandise, and vehicle insurance services. This segment also provides sedans and sport utility vehicles through direct and used vehicle sales, a network of Tesla Superchargers, and in-app upgrades; purchase financing and leasing services; services for electric vehicles through its company-owned service locations and Tesla mobile service technicians; and vehicle limited warranties and extended service plans. The Energy Generation and Storage segment engages in the design, manufacture, installation, sale, and leasing of solar energy generation and energy storage products, and related services to residential, commercial, and industrial customers and utilities through its website, stores, and galleries, as well as through a network of channel partners; and provision of service and repairs to its energy product customers, including under warranty, as well as various financing options to its solar customers. The company was formerly known as Tesla Motors, Inc. and changed its name to Tesla, Inc. in February 2017. Tesla, Inc. was incorporated in 2003 and is headquartered in Austin, Texas.",NASDAQ Global Select,NASDAQ,127855,https://financialmodelingprep.com/image-stock/TSLA.png,Auto Manufacturers,6/29/2010,TRUE,TRUE,TRUE,TRUE,US88160R1014,0,8.24133E+11,512 516 8177,260.02,101.81-314.66666,Consumer Cyclical,TX,TSLA,137255281,https://www.tesla.com,78725
